reg_type,address,name,description,write_permission
c,0,PS_UI_DISABLE,True disable the UI on the power supply. This is necessary to modify some regs with '*',TRUE
c,1,RMT_TRIGGER_DISABLE,True disables the remote trigger on the 14 pin connector,TRUE
c,2,CONTACTOR_TRIGGER,"Trigger (Contactor) Request: 1 True(1 Second Time Out Return To False) / 0 False. To continue a weld sequence through Final Slope and or Final Time, Coil must be refreshed with False throughout these sequences.",TRUE
c,3,GAS_REQUEST,Gas Request: 1 TRUE(1 Second Time Out Return To False) / 0 False.,TRUE
c,4,USE_DC_OUTPUT,"*,**AC Power Source’s Output DC: 1 True (DC) / 0 False (AC).",TRUE
c,5,USE_EP_POLARITY,"*,**AC Power Source’s DC Polarity EP: 1 True (EP) / 0 False (EN).",TRUE
c,6,STUCK_CHECK_EN,"*Stuck Check Enable: 1 True / 0 False. When Stick Stuck Check is on and the welding electrode (rod) is stuck, output is turned off.",TRUE
c,7,HOT_START_EN,*Hot Start Enable: 1 True / 0 False.Note: Hot Start can also be Disabled with 0 time set in Holding Register 6214 Hot Start Time. Stick only,TRUE
c,8,BOOST_EN,*Boost Enable: 1 True / 0 False.,TRUE
c,9,DROOP_EN,*Droop Enable: 1 True / 0 False.,TRUE
c,10,USE_LOW_OCV,*Open Circuit Voltage (OCV) Low Enable: 1 True (Low) / 0 False (Normal). OCV selection applies to both Stick and MIG processes.,TRUE
c,11,GAS_EN,"*Weld Gas Enable: 1 True / 0 False Enables Gas With Contactor. Set true for automatic gas, false if using our own gas solenoid",TRUE
c,12,COOLER_EN,"Non CE Models Only Cooler Power Supply (CPS) Enable: 1 True (Parallel With Coil 0013) / 0 False. Note: Dynasty/Maxstar 210/280 CE Models Have No Control, Read Returns False. Cooler power supply is switched 120v for the cooler in the back.",TRUE
c,13,COOLER_TIG_EN,*Cooler Power Supply (CPS) TIG Enable: 1 True (Parallel With Coil 0012) / 0 False TIG Process Control Of Cooler Power Supply.,TRUE
c,14,COOLER_ERROR_EN,Dynasty/Maxstar 210/280 Models Only *Cooler Error Enable: 1 True / 0 False Enables Error “1.3.6 No Cooler Detected With Output Current”. Error Is Generated When No Load Detected On Cooler Power Supply’s Output With Load Detected On The Power Source’s Output.,TRUE
c,15,TOUCH_SENSE_EN,Touch Sense Enable: 1 True / 0 False. Touch Sense Detection found at Modbus Discrete Input 2008 Or Remote 14 Receptacle Socket J.,TRUE
c,16,RMS_EN,"RMS Enable: AC Amperage Preset And Meter And/Or DC Pulse Amperage Meter:1 True (RMS) / 0 False (Average) Note: To Enable, Must Have Discrete Input 2012 RMS Hardware Detect = True.",TRUE
c,17,PULSER_EN,"*Pulser Enable: 1 True / 0 False. Note: Can also be set TRUE / FALSE when writing values to Holding Register 6305 Pulser Pulses Per Second (PPS). When enabled and Holding Register 6304 PPS is found at “0”, PPS will be set to a default value.",TRUE
c,18,USE_LOW_AC_COMMUTATION_AMP,"Dynasty/Maxstar 400/800 Models Only *AC Commutation Amperage LOW ENABLE: 1 TRUE (LOW) / 0 FALSE (High) Application: Use High commutation amperage when a more aggressive arc is preferred. Use Low commutation amperage when a less aggressive and quieter arc is preferred.
",TRUE
c,19,AC_INDEPENDANT_EN,*AC Independent Enable: 1 True / 0 False. Enables/Disables Both Independent Amperage and Independent AC Wave Shapes.,TRUE
c,20,WLED_TIMERS_EN,"*Weld Timers Enable: 1 True / 0 False. Weld Timers Include Weld (Spot), Intial Amperage and Final Amperage Timers.",TRUE
d,2000,COOLER_DETECTED,Dynasty/Maxstar 210/280 Models OnlyCooler Power Supply (CPS) Detect: 1 True / 0 False.,FALSE
d,2001,COOLER_LOAD_DETECTED,Dynasty/Maxstar 210/280 Models OnlyCooler Load Detect: 1 True / 0 False.,FALSE
d,2002,FOOT_CONTROL_DETECTED,Foot/Finger Tip Control Detect: 1 True / 0 False Note: Holding Register 6204 (Remote 14-Skt E) Must Be Con-figured To 0 (Amperage Control) To Detect Foot/Finger Tip Control.,FALSE
d,2003,RMT_TRIGGER_ENABLED,Remote Trigger (Contactor 14-Skt A-B) Enable: 1 True / 0 False. Not clear if this shows when it is enabled (like coil 1) Or if it shows when the trigger contactor is actually engaged. ,FALSE
d,2004,CONTACTOR_OUTPUT_ENABLED,Contactor Output Enabled: 1 True / 0 False (Contactor Output Or Sense Voltage Pre Contactor Output).,FALSE
d,2005,GAS_OUTPUT_ENABLED,Gas Output Enabled: 1 True / 0 False.,FALSE
d,2006,IS_VALID_ARC,Valid Arc: 1 True / 0 False.,FALSE
d,2007,ARC_LENGTH_CTL_LOCKOUT,Arc Length Control Lock Out: 1 True / 0 False.,FALSE
d,2008,TOUCH_SENSE_DETECT,"Touch Sense Detect: 1 True / 0 False. Touch Sense Enable (Coil 16) Must Be Set True With Machine’s State(Input Register 4101) In Standby, And Weld Output Shorted For Touch Sense Detect To Register As True.",FALSE
d,2009,IS_CE_MODEL,CE Model Detect: 1 True / 0 False,FALSE
d,2010,IS_STR_MODEL,STR Model Detect: 1 True / 0 False,FALSE
d,2011,IS_DX_MODEL,DX Model Detect: 1 True / 0 False,FALSE
d,2012,RMS_HW_PRESENT,RMS Hardware Detect: 1 True / 0 False,FALSE
d,2013,LOW_LIVE_INPUT,Low Line Detect: 1 True / 0 False (Dynasty/Maxstar 210 Only)Note: Set True When Powered Up On 120 V Input.,FALSE
d,2014,HOT_START_SUPPORTED,Feature Enable for Hot Start Adjust: 1 True / 0 False.,FALSE
d,2015,AC_INDEPENDANT_SUPPORTED,Feature Enable for AC Independent: 1 True / 0 False.,FALSE
d,2016,IS_MIG_VOLT_SENSE_MODEL,Dynasty/Maxstar 210/280 Models OnlyVolt Sensing (MIG) Model Detect: 1 True / 0 False,FALSE
d,2017,IS_SYNCROWAVE_MODEL,Syncrowave Model Detect: 1 True / 0 False,FALSE
d,2018,NON_COOLER_SUPPLY_DETECT,Syncrowave 300/400 Models Only. Non Cooler Supply Detect: 1 True / 0 False,FALSE
i,4016,APP_SOFTWARE_VERSION_PCB_7,"32 bit

Dynasty/Maxstar 800 Models Only
Application Software Number And Revision,4 Bytes Bit Mapped:
NNNN,NNNN NNNN,NNNN NNNN,NNRR RRRE,EEEE
NNNN,NNNN NNNN,NNNN NNNN,NN == Miller Part Number,22 Bits 31 - 10, Bit Range 0 - 4,194,303, Actual 0-999999
RR RRR == Revision Level, 5 Bits 9 - 5, Bit Range 0 - 31,Actual 0 - 26where: 0 == “@” Preproduction Or Field Test Software1,2,3... == Revision A,B,C…E,
EEEE == Evaluation / Test, 5 Bits 9 - 5, Bit Range 0 - 31,Actual 0 - 26Where: 0 == ”@” Released Software,1,2,3... == Evaluation / Test Revision A,B,C…PCB 7 Primary",FALSE
i,4017,,,FALSE
i,4018,APP_SOFTWARE_VERSION_PCB_6,"32 bit

Application Software Number And Revision,PCB 6 Gateway Interface

See APP_SOFTWARE_VERSION_PCB_7",FALSE
i,4019,,,FALSE
i,4020,APP_SOFTWARE_VERSION_PCB_5,"32 bit

Dynasty/Maxstar 210/280 Models OnlyApplication Software Number And Revision,PCB 5 Cooler Power Supply (CPS)

See APP_SOFTWARE_VERSION_PCB_7",FALSE
i,4021,,,FALSE
i,4022,APP_SOFTWARE_VERSION_PCB_4,"32 bit

Application Software Number And Revision,PCB 4 Primary

See APP_SOFTWARE_VERSION_PCB_7",FALSE
i,4023,,,FALSE
i,4024,APP_SOFTWARE_VERSION_PCB_3,"32 bit

Application Software Number And Revision,PCB 3 Process

See APP_SOFTWARE_VERSION_PCB_7",FALSE
i,4025,,,FALSE
i,4026,APP_SOFTWARE_VERSION_PCB_2,"32 bit

Application Software Number And Revision,PCB 2 User Interface

See APP_SOFTWARE_VERSION_PCB_7",FALSE
i,4027,,,FALSE
i,4028,APP_SOFTWARE_VERSION_PCB_1,"32 bit

Application Software Number And Revision,PCB 1 SD Card

See APP_SOFTWARE_VERSION_PCB_7",FALSE
i,4029,,,FALSE
i,4030,SERIAL_NUMBER,"32 bit

Serial Number: 4 Bytes Bit Mapped: 
DDDY,YYYW WWWW,WSSS,SSSS,SSSS,SSSB,BBBB

DDD = Decade Code, 3 Bits 31 - 29, Bit Range 0 - 7, actual “M” - “U” (For Decades 201*-208*), Skip “O”, See Note 
Y,YYY = Year Code, 4 Bits 28 - 25, Bit Range 0 - 15, Actual 0 - 9 “A” - “K”, Skip “I”, See Note
W WWWW,W = Week Number, 6 Bits 24-19, Bit Range 0 - 63, Actual 01 - 52 
SSS,SSSS,SSSS SSS = Serialized Number, 14 Bits 18 - 5, Bit Range 0 - 16383, Actual 0001-9999 
B,BBBB = Business Unit Code, 5 Bits 4 - 0, Bit Range 0 - 31, Actual 0 - 25 “A”-”Z”, “I” And “O”, Not Used See Note Note: Letters “I” And “O”, Similar To Numbers “1” And “0” Skipped In Decade And Year. Not used In Business Unit Code.",FALSE
i,4031,,,FALSE
i,4032,MAX_AMPS,"Power Source Configuration, Amperage Maximum: 0-1023, Res: 1A. Unclear if this is for the machine or for the current configuration.",FALSE
i,4033,MIN_DC_AMPS,"Power Source Configuration, Amperage DC Minimum: 0-31, Res: 1A, 0 = DC Not Available. Unclear if this is for the machine or for the current configuration.",FALSE
i,4034,MIN_AC_AMPS,"Power Source Configuration, Amperage AC Minimum: 0-31, Res: 1A, 0 = AC Not Available. Unclear if this is for the machine or for the current configuration.",FALSE
i,4036,,"32 bit

Machine’s Software Update Number, Revision. 4 Bytes Bit Mapped: 
NNNN,NNNN,NNNN,NNNN,NNNN,NNMM,MMML,LLLL
NNNN,NNNN,NNNN,NNNN,NNNN,NN = Miller Part Number, 22 Bits 31−10, Bit Range 0−4,194,303, Actual 0−999999 
MM MMM = Revision Level’s Most Significant Designator, 5 Bits 9−5, Bit Range 0−31, Actual 0,1−26 (ASCII “@,A−Z”), 9 “I” & 15 “O” Similar To “1” & “0” Not Used. Typically Starts At 0 (“@”, Omitted When Displayed), Increases By One With Each Wrap “Z” To “A” Of The Least Significant Designator 
L, LLLL = Revision Level’s Least Significant Designator, 5 Bits 4−0, Bit Range 0−31, Actual 0,1−26 (ASCII “@,A−Z”), 9 “I” & 15 “O” Similar To “1” & “0” Not Used. 0 “@” 

Used For Preproduction Only.",FALSE
i,4037,,,FALSE
i,4099,SEQUENCE_TIMER,Sequence Timer: Remaining / Elapsed Time of States: Initial Amperage Initial Slope Time Main Amperage Final Slope Time Final Amperage Preflow Postflow (typically timed while in Standby State) Resolution: 0.1 Second,FALSE
i,4100,WELD_STATE,"State: 
0 Initial Amperage
1 Initial Slope Time
2 Main Amperage
3 Final Slope Time
4 Final Amperage
5 Preflow
6 Standby
7 Output Shorted
8 Release Trigger
9 Output Disabled
13 Error
14 Power Down
15 Power Up",FALSE
i,4101,ERROR_REG_1,"Errors1, 16(Bits) Possible Errors, 1 True / 0 False (Power Source Dependent)
Dynasty/Maxstar 210/280, Syncrowave 300 Process And User Interface:
Bit / Error# / Description
0 / 0.3.1 / Secondary Over Temp
1 / 0.3.2 / Ambient Over Temp
2 / 7.3.6 / Process Serial Communication With Gateway
3 / 3.3.1 / Secondary Thermistor Failure
4 / 3.3.2 / Ambient Thermistor Failure
5 / 1.3.1 / Fan Failure
6 / 1.3.2 / Clamp/Output Over Voltage
7 / 1.3.3 / AC Commutation Time Out
8 / 1.3.4 / Output Over Voltage
9 / 1.3.5 / Output Current Or Voltage Feedback With Output Off
10 / 1.3.6 / No Cooler Detected With Output Current
11 / 7.3.4 / Process Serial Communication With Primary
12 / 7.3.2 / Process Serial Communication With User Interface
13 / 7.3.1 / Process Serial Communication With Memory Card
14 / 7.3.5 / Process Serial Communication With CPS
15 / 7.2.3 / User Interface Serial Communication With Process
Dynasty/Maxstar 400/800:
Bit / Error# / Description
0 / 0.3.2 / Ambient Over Temp
1 / 0.3.1 / Secondary Over Temp RC20
2 / 0.3.1 / Secondary Over Temp RC30
3 / 0.4.1 / Primary Power Over Temp 400/800 Top
4 / 0.4.2 or 0.7.1 / Primary Power Over Temp 800 Bottom
5
6
7
8
9
10
11 / 7.3.7 / Process serial communication with Primary 800 Bottom.
12 / 7.3.4 / Process serial communication with Primary 400/800 Top.
13 / 3.3.2 / Ambient thermistor failure
14 / 3.3.1 / Secondary thermistor failure RC20
15 / 3.3.1 / Secondary thermistor failure RC30",FALSE
